instancias,ub,valores,media,menor,gapmedia,gapmenor
comp01,5,101 113 96 86 108 ,100.8,86,,
comp02,24,861 785 896 817 978 ,867.4,785,,
comp03,64,488 524 531 561 506 ,522.0,488,,
comp04,35,433 448 418 433 423 ,431.0,418,,
comp05,284,2313 2208 2294 2346 2133 ,2258.8,2133,,
comp06,27,784 756 826 770 845 ,796.2,756,,
comp07,6,892 892 860 875 858 ,875.4,858,,
comp08,37,468 459 458 463 461 ,461.8,458,,
comp09,96,495 452 507 467 500 ,484.2,452,,
comp10,4,611 594 602 618 631 ,611.2,594,,
comp11,0,129 101 121 127 129 ,121.4,101,,
comp12,294,1237 1326 1214 1275 1306 ,1271.6,1214,,
comp13,59,538 496 541 506 503 ,516.8,503,,
comp14,51,494 485 530 531 503 ,508.6,485,,
comp15,62,616 600 588 592 561 ,591.4,561,,
comp16,18,606 625 632 623 629 ,623.0,606,,
comp17,56,660 654 632 617 636 ,639.8,617,,
comp18,61,321 330 340 342 353 ,337.2,321,,
comp19,57,527 516 523 520 511 ,519.4,511,,
comp20,4,1181 1151 1113 1100 1130 ,1135.0,1100,,
comp21,74,646 619 656 694 640 ,651.0,619,,
